customer_id,customer_name,city
CUST-00001,Customer 00001,Boston
CUST-00002,Customer 00002,Austin
CUST-00003,Customer 00003,Miami
CUST-00004,Customer 00004,Denver
CUST-00005,Customer 00005,Denver
CUST-00006,Customer 00006,Chicago
CUST-00007,Customer 00007,Boston
CUST-00008,Customer 00008,Seattle
CUST-00009,Customer 00009,Boston
CUST-00010,Customer 00010,Atlanta
CUST-00011,Customer 00011,Phoenix
CUST-00012,Customer 00012,Austin
CUST-00013,Customer 00013,Austin
CUST-00014,Customer 00014,Boston
CUST-00015,Customer 00015,Denver
CUST-00016,Customer 00016,Denver
CUST-00017,Customer 00017,Seattle
CUST-00018,Customer 00018,Atlanta
CUST-00019,Customer 00019,Austin
CUST-00020,Customer 00020,Seattle
CUST-00021,Customer 00021,Denver
CUST-00022,Customer 00022,Seattle
CUST-00023,Customer 00023,Phoenix
CUST-00024,Customer 00024,Denver
CUST-00025,Customer 00025,San Diego
CUST-00026,Customer 00026,Atlanta
CUST-00027,Customer 00027,Miami
CUST-00028,Customer 00028,Austin
CUST-00029,Customer 00029,Chicago
CUST-00030,Customer 00030,Phoenix
CUST-00031,Customer 00031,New York
CUST-00032,Customer 00032,Miami
CUST-00033,Customer 00033,Chicago
CUST-00034,Customer 00034,Denver
CUST-00035,Customer 00035,New York
CUST-00036,Customer 00036,Boston
CUST-00037,Customer 00037,Boston
CUST-00038,Customer 00038,Phoenix
CUST-00039,Customer 00039,Boston
CUST-00040,Customer 00040,New York
CUST-00041,Customer 00041,New York
CUST-00042,Customer 00042,Atlanta
CUST-00043,Customer 00043,Miami
CUST-00044,Customer 00044,Austin
CUST-00045,Customer 00045,San Diego
CUST-00046,Customer 00046,Seattle
CUST-00047,Customer 00047,Boston
CUST-00048,Customer 00048,Phoenix
CUST-00049,Customer 00049,Boston
CUST-00050,Customer 00050,Seattle
CUST-00051,Customer 00051,Miami
CUST-00052,Customer 00052,Atlanta
CUST-00053,Customer 00053,New York
CUST-00054,Customer 00054,Atlanta
CUST-00055,Customer 00055,Denver
CUST-00056,Customer 00056,Boston
CUST-00057,Customer 00057,Austin
CUST-00058,Customer 00058,Denver
CUST-00059,Customer 00059,Miami
CUST-00060,Customer 00060,Boston
CUST-00061,Customer 00061,Denver
CUST-00062,Customer 00062,Boston
CUST-00063,Customer 00063,Phoenix
CUST-00064,Customer 00064,Miami
CUST-00065,Customer 00065,San Diego
CUST-00066,Customer 00066,New York
CUST-00067,Customer 00067,Chicago
CUST-00068,Customer 00068,New York
CUST-00069,Customer 00069,New York
CUST-00070,Customer 00070,Denver
CUST-00071,Customer 00071,Miami
CUST-00072,Customer 00072,Boston
CUST-00073,Customer 00073,Atlanta
CUST-00074,Customer 00074,Chicago
CUST-00075,Customer 00075,Seattle
CUST-00076,Customer 00076,Denver
CUST-00077,Customer 00077,Chicago
CUST-00078,Customer 00078,San Diego
CUST-00079,Customer 00079,Phoenix
CUST-00080,Customer 00080,Miami
CUST-00081,Customer 00081,Seattle
CUST-00082,Customer 00082,Denver
CUST-00083,Customer 00083,New York
CUST-00084,Customer 00084,Austin
CUST-00085,Customer 00085,Denver
CUST-00086,Customer 00086,Austin
CUST-00087,Customer 00087,New York
CUST-00088,Customer 00088,Phoenix
CUST-00089,Customer 00089,Miami
CUST-00090,Customer 00090,Boston
CUST-00091,Customer 00091,Denver
CUST-00092,Customer 00092,Atlanta
CUST-00093,Customer 00093,New York
CUST-00094,Customer 00094,Denver
CUST-00095,Customer 00095,San Diego
CUST-00096,Customer 00096,Phoenix
CUST-00097,Customer 00097,San Diego
CUST-00098,Customer 00098,Chicago
CUST-00099,Customer 00099,Miami
CUST-00100,Customer 00100,Chicago
CUST-00101,Customer 00101,Denver
CUST-00102,Customer 00102,Seattle
CUST-00103,Customer 00103,Seattle
CUST-00104,Customer 00104,Miami
CUST-00105,Customer 00105,Atlanta
CUST-00106,Customer 00106,Phoenix
CUST-00107,Customer 00107,Atlanta
CUST-00108,Customer 00108,Phoenix
CUST-00109,Customer 00109,New York
CUST-00110,Customer 00110,Denver
CUST-00111,Customer 00111,Chicago
CUST-00112,Customer 00112,Seattle
CUST-00113,Customer 00113,San Diego
CUST-00114,Customer 00114,Boston
CUST-00115,Customer 00115,Austin
CUST-00116,Customer 00116,Boston
CUST-00117,Customer 00117,Chicago
CUST-00118,Customer 00118,Chicago
CUST-00119,Customer 00119,Phoenix
CUST-00120,Customer 00120,Atlanta
CUST-00121,Customer 00121,Boston
CUST-00122,Customer 00122,Phoenix
CUST-00123,Customer 00123,Phoenix
CUST-00124,Customer 00124,Atlanta
CUST-00125,Customer 00125,San Diego
CUST-00126,Customer 00126,Seattle
CUST-00127,Customer 00127,Miami
CUST-00128,Customer 00128,Seattle
CUST-00129,Customer 00129,Austin
CUST-00130,Customer 00130,Boston
CUST-00131,Customer 00131,Seattle
CUST-00132,Customer 00132,Miami
CUST-00133,Customer 00133,New York
CUST-00134,Customer 00134,Boston
CUST-00135,Customer 00135,Miami
CUST-00136,Customer 00136,Phoenix
CUST-00137,Customer 00137,Chicago
CUST-00138,Customer 00138,San Diego
