order_id,customer_id,product_id,store_id,order_date,quantity,unit_price
ORD-000001,CUST-00115,PROD-0007,STORE-024,2025-11-24,5,126.21
ORD-000002,CUST-00105,PROD-0174,STORE-024,2025-03-13,2,297.28
ORD-000003,CUST-00031,PROD-0024,STORE-007,2025-01-17,4,255.14
ORD-000004,CUST-00575,PROD-0051,STORE-023,2025-01-14,7,114.11
ORD-000005,CUST-00285,PROD-0208,STORE-001,2025-10-29,3,350.57
ORD-000006,CUST-00285,PROD-0040,STORE-007,2025-06-24,6,55.58
ORD-000007,CUST-00100,PROD-0092,STORE-012,2025-07-14,5,404.52
ORD-000008,CUST-00550,PROD-0032,STORE-013,2025-08-24,2,278.25
ORD-000009,CUST-00634,PROD-0227,STORE-012,2025-11-18,4,353.75
ORD-000010,CUST-00678,PROD-0059,STORE-025,2025-01-24,5,492.67
ORD-000011,CUST-00104,PROD-0098,STORE-009,2025-04-30,8,319.65
ORD-000012,CUST-00167,PROD-0095,STORE-012,2025-07-06,4,336.73
ORD-000013,CUST-00700,PROD-0166,STORE-003,2025-12-26,3,269.39
ORD-000014,CUST-00168,PROD-0119,STORE-013,2025-05-06,5,494.8
ORD-000015,CUST-00705,PROD-0143,STORE-008,2025-11-24,6,422.2
ORD-000016,CUST-00235,PROD-0211,STORE-002,2025-01-29,6,203.57
ORD-000017,CUST-00217,PROD-0234,STORE-019,2025-02-03,6,110.24
ORD-000018,CUST-00406,PROD-0227,STORE-021,2025-09-13,8,75.71
ORD-000019,CUST-00253,PROD-0191,STORE-018,2025-03-13,5,374.76
ORD-000020,CUST-00598,PROD-0103,STORE-012,2025-08-08,4,498.67
ORD-000021,CUST-00522,PROD-0127,STORE-003,2025-03-12,1,431.24
ORD-000022,CUST-00643,PROD-0041,STORE-022,2025-03-20,7,300.21
ORD-000023,CUST-00391,PROD-0153,STORE-015,2025-07-17,5,485.67
ORD-000024,CUST-00697,PROD-0185,STORE-004,2025-01-06,5,385.45
ORD-000025,CUST-00115,PROD-0076,STORE-014,2025-06-24,3,229.58
ORD-000026,CUST-00513,PROD-0196,STORE-006,2025-05-15,2,435.9
ORD-000027,CUST-00655,PROD-0130,STORE-020,2025-06-02,4,80.65
ORD-000028,CUST-00553,PROD-0245,STORE-025,2025-03-24,1,301.47
ORD-000029,CUST-00020,PROD-0029,STORE-012,2025-09-08,5,123.52
ORD-000030,CUST-00581,PROD-0243,STORE-003,2025-05-04,2,367.28
ORD-000031,CUST-00546,PROD-0197,STORE-005,2025-02-05,3,331.57
ORD-000032,CUST-00170,PROD-0068,STORE-017,2025-10-09,7,482.35
ORD-000033,CUST-00748,PROD-0177,STORE-007,2025-10-04,5,202.49
ORD-000034,CUST-00666,PROD-0096,STORE-015,2025-12-10,8,64.89
ORD-000035,CUST-00066,PROD-0087,STORE-001,2025-04-26,4,296.27
ORD-000036,CUST-00073,PROD-0182,STORE-021,2025-01-04,1,118.32
ORD-000037,CUST-00339,PROD-0019,STORE-017,2025-01-17,4,142.84
ORD-000038,CUST-00220,PROD-0139,STORE-005,2025-09-06,8,125.27
ORD-000039,CUST-00417,PROD-0049,STORE-004,2025-08-31,2,331.19
ORD-000040,CUST-00434,PROD-0106,STORE-015,2025-07-01,1,338.31
ORD-000041,CUST-00101,PROD-0016,STORE-013,2025-11-27,6,401.28
