product_id,product_name,category
PROD-0001,Personal Care Product 0001,Personal Care
PROD-0002,Home Product 0002,Home
PROD-0003,Office Product 0003,Office
PROD-0004,Outdoor Product 0004,Outdoor
PROD-0005,Toys Product 0005,Toys
PROD-0006,Outdoor Product 0006,Outdoor
PROD-0007,Personal Care Product 0007,Personal Care
PROD-0008,Outdoor Product 0008,Outdoor
PROD-0009,Outdoor Product 0009,Outdoor
PROD-0010,Toys Product 0010,Toys
PROD-0011,Office Product 0011,Office
PROD-0012,Office Product 0012,Office
PROD-0013,Office Product 0013,Office
PROD-0014,Home Product 0014,Home
PROD-0015,Electronics Product 0015,Electronics
PROD-0016,Home Product 0016,Home
PROD-0017,Outdoor Product 0017,Outdoor
PROD-0018,Electronics Product 0018,Electronics
PROD-0019,Grocery Product 0019,Grocery
PROD-0020,Home Product 0020,Home
PROD-0021,Home Product 0021,Home
PROD-0022,Toys Product 0022,Toys
PROD-0023,Office Product 0023,Office
PROD-0024,Office Product 0024,Office
PROD-0025,Electronics Product 0025,Electronics
PROD-0026,Home Product 0026,Home
PROD-0027,Office Product 0027,Office
PROD-0028,Home Product 0028,Home
PROD-0029,Outdoor Product 0029,Outdoor
PROD-0030,Grocery Product 0030,Grocery
PROD-0031,Office Product 0031,Office
PROD-0032,Apparel Product 0032,Apparel
PROD-0033,Grocery Product 0033,Grocery
PROD-0034,Office Product 0034,Office
PROD-0035,Apparel Product 0035,Apparel
PROD-0036,Apparel Product 0036,Apparel
PROD-0037,Office Product 0037,Office
PROD-0038,Grocery Product 0038,Grocery
PROD-0039,Toys Product 0039,Toys
PROD-0040,Electronics Product 0040,Electronics
PROD-0041,Apparel Product 0041,Apparel
PROD-0042,Office Product 0042,Office
PROD-0043,Toys Product 0043,Toys
PROD-0044,Toys Product 0044,Toys
PROD-0045,Toys Product 0045,Toys
PROD-0046,Outdoor Product 0046,Outdoor
PROD-0047,Grocery Product 0047,Grocery
PROD-0048,Apparel Product 0048,Apparel
PROD-0049,Office Product 0049,Office
PROD-0050,Toys Product 0050,Toys
PROD-0051,Electronics Product 0051,Electronics
PROD-0052,Electronics Product 0052,Electronics
PROD-0053,Personal Care Product 0053,Personal Care
PROD-0054,Toys Product 0054,Toys
PROD-0055,Electronics Product 0055,Electronics
PROD-0056,Apparel Product 0056,Apparel
PROD-0057,Grocery Product 0057,Grocery
PROD-0058,Grocery Product 0058,Grocery
PROD-0059,Office Product 0059,Office
PROD-0060,Electronics Product 0060,Electronics
PROD-0061,Home Product 0061,Home
PROD-0062,Electronics Product 0062,Electronics
PROD-0063,Personal Care Product 0063,Personal Care
PROD-0064,Home Product 0064,Home
PROD-0065,Personal Care Product 0065,Personal Care
PROD-0066,Toys Product 0066,Toys
PROD-0067,Toys Product 0067,Toys
PROD-0068,Office Product 0068,Office
PROD-0069,Personal Care Product 0069,Personal Care
PROD-0070,Office Product 0070,Office
PROD-0071,Apparel Product 0071,Apparel
PROD-0072,Electronics Product 0072,Electronics
PROD-0073,Home Product 0073,Home
PROD-0074,Home Product 0074,Home
PROD-0075,Office Product 0075,Office
PROD-0076,Electronics Product 0076,Electronics
PROD-0077,Grocery Product 0077,Grocery
PROD-0078,Home Product 0078,Home
PROD-0079,Grocery Product 0079,Grocery
PROD-0080,Electronics Product 0080,Electronics
PROD-0081,Grocery Product 0081,Grocery
PROD-0082,Apparel Product 0082,Apparel
PROD-0083,Personal Care Product 0083,Personal Care
PROD-0084,Toys Product 0084,Toys
PROD-0085,Toys Product 0085,Toys
PROD-0086,Office Product 0086,Office
PROD-0087,Apparel Product 0087,Apparel
PROD-0088,Home Product 0088,Home
PROD-0089,Office Product 0089,Office
PROD-0090,Office Product 0090,Office
PROD-0091,Toys Product 0091,Toys
PROD-0092,Electronics Product 0092,Electronics
PROD-0093,Home Product 0093,Home
PROD-0094,Office Product 0094,Office
PROD-0095,Home Product 0095,Home
