store_id,store_name,city
STORE-001,Store 001,Boston
STORE-002,Store 002,Boston
STORE-003,Store 003,San Diego
STORE-004,Store 004,Chicago
STORE-005,Store 005,Miami
STORE-006,Store 006,Austin
STORE-007,Store 007,Austin
STORE-008,Store 008,New York
STORE-009,Store 009,Austin
STORE-010,Store 010,Miami
STORE-011,Store 011,New York
STORE-012,Store 012,New York
STORE-013,Store 013,Phoenix
STORE-014,Store 014,Chicago
STORE-015,Store 015,Denver
STORE-016,Store 016,Seattle
STORE-017,Store 017,Phoenix
STORE-018,Store 018,Atlanta
STORE-019,Store 019,Chicago
STORE-020,Store 020,Chicago
STORE-021,Store 021,Chicago
STORE-022,Store 022,Boston
STORE-023,Store 023,Atlanta
STORE-024,Store 024,Phoenix
STORE-025,Store 025,Atlanta
